"date","statement","falsehood","analysis","category","keywords"
" Oct 21","Falsely said, “We’re tied in Florida.”","Polls say he's tied in...","Clinton leads by an average of four percentage points in Florida.","Polls",""
" Oct 5","Falsely said he is doing “so well” in Michigan, where “normally” Republicans don’t do as well.","Polls say he's winning in...","Trump trails in every poll there, most recently by 11 points. Even before this newest poll, he was down by an average of five points, close to the margin by which Bush lost both times.","Polls",""
" Oct 15","Falsely said of New Hampshire, “It shows we’re up 1 or 2 points here.”","Polls say he's winning in...","It is not clear what “it” is, but Clinton leads in every major New Hampshire poll, and by 4 points on average.","Polls",""
" Oct 17","Falsely said polls “have us up by four in Ohio and doing really well everywhere…we are ahead in the polls.”","Polls say he's winning in...","Only the Ohio part is accurate.","Polls",""
" Oct 18","Falsely said, “The polls just came out — in all of the swing states, I’m either leading or within one or two points.”","Polls say he's winning in...","Trump is trailing in almost every swing state, in many by more than two points.","Polls",""
" Oct 22","Falsely said he is in first place in “three highly respected national polls.”","Polls say he's winning in...","While several definitions of “highly respected” could be offered, Trump is wrong to suggest these polls are held in high esteem by independent experts. One of them is the Los Angeles Times tracking poll whose methodology many analysts view with deep skepticism. Another is the Republican-leaning Rasmussen poll that gets a mere C+ in 538’s pollster ratings; one study found it 24th in accuracy out of 28 pollsters in the 2012 election.","Polls",""
" Oct 24","Falsely said of North Carolina, “In your state, I’m one point, two points and even in three polls. One point, two points and even.”","Polls say he's winning in...","Clinton has led in at least 13 consecutive North Carolina polls.","Polls",""
" Oct 24","Falsely said, “We’re way ahead in Ohio.”","Polls say he's winning in...","Trump has a tiny lead in Ohio, 0.4 per cent in the average poll.","Polls",""
" Oct 24","Falsely said, “We’re leading Ohio by five or six points, we’re even in Florida, we’re leading North Carolina.”","Polls say he's winning in...","Trump has a tiny lead in Ohio, 0.4 per cent in the average poll. He is down by an average of four points in Florida. He has trailed in 13 consecutive North Carolina polls.","Polls",""
" Oct 24","Falsely said, “All I know is we’re leading in the polls.”","Polls say he's winning in...","Trump trails by an average of more than five points nationally.","Polls",""
" Oct 25","Falsely said, “We’re way ahead in Ohio.”","Polls say he's winning in...","Trump is up in Ohio by one percentage point on average.","Polls",""
" Oct 23","Falsely said of his polling, “We’re setting records with men.”","Polls show he's setting records with men","He is not. “To put this year’s gender split into a little more context: Trump’s 7-percentage-point lead among men is about how well George W. Bush did with men in 2000,” FiveThirtyEight’s Harry Enten wrote last week.","Polls",""
" Sep 16","Falsely claimed Clinton “is raising your taxes substantially.”","Polls show more enthusiasm","Polls did not show that.","Polls",""
" Sep 19","Falsely claimed his polls show “the highest levels of enthusiasm that they’ve seen.”","Polls show more enthusiasm","Trump’s “very enthusiastic” percentage was 45 per cent in the latest CNN poll; 46 per cent of Romney supporters were “very enthusiastic” in Oct. 2012.","Polls",""
" Oct 19","Falsely said, of violence at his rally in Chicago, “She’s the one and Obama that caused the violence. They hired people — they paid them $1,500, and they’re on tape saying be violent, cause fights, do bad things.”","Clinton provoked violence at a rally","A hidden-camera video, shot by a conservative activist with a history of misleading editing, appears to show a Democratic operative talking about provoking Trump supporters at rallies. But President Obama and Clinton are not on the tape, and there is no evidence they knew anything about it.","Rigged election",""
" Oct 25","Falsely said of Clinton, “She hired people, thugs, to go into my rallies…go into a rally and beat people up,” and “The violence was caused by Hillary Clinton’s campaign, where they were paying people $1,500 and a cellphone to go in and create tremendous violence. Hit people, punch people.”","Clinton provoked violence at a rally","An undercover video by a conservative sting activist showed Democratic operatives appearing to talk about having provoked confrontations at a Trump rally in Chicago. There is no evidence that the Clinton campaign hired people to produce violence or to punch people. And one of the operatives said their goal was to get Trump supporters to be violent – “You can message to draw them out and draw them to punch you” – not to be violent themselves.","Rigged election",""
" Oct 17","Falsely said, “When you look at illegal immigrants voting all over the country...We have voters all over the country where they are not even citizens of the country and they are voting.”","Election is rigged","There is no evidence of this actually occurring in any widespread way “all over the country.” Trump was basing the statement on estimates of “non-citizens” voting from a disputed study.","Rigged election",""
" Oct 17","Falsely said, “If you look at the polls and the polling places in various cities, they’re also rigged in the cities, let’s not kid ourselves.”","Election is rigged","There is no evidence of election-rigging in American cities.","Rigged election",""
" Oct 17","Falsely said, “This is a rigged election, folks.”","Election is rigged","It is not.","Rigged election",""
" Oct 17","Falsely said, “There is tremendous voter fraud.”","Election is rigged","There is not. One expert found 31 cases between 2000 and 2014.","Rigged election",""
" Oct 18","Falsely said, of voter fraud, “Take a look at Chicago … Take a look at some of these cities where you see things happening that are horrendous.”","Election is rigged","There is no evidence of a voter fraud problem in Chicago. A spokesman for the city’s elections board told the Chicago Tribune, “In the last 10 years we’ve had 10 referrals of suspicious activity to the state’s attorney’s office and at the same time we’ve had nine million ballots cast.”","Rigged election",""
" Oct 18","Falsely said, “They even want to try and rig the election at the polling booths, where so many cities are corrupt and voter fraud is all too common.”","Election is rigged","Nobody is trying to rig the election. There is no evidence cities are corrupt in their elections. Voter fraud is not common.","Rigged election",""
" Oct 21","Falsley said, “You have two and a half million or so that are registered in two states. That means they’re voting twice.”","Election is rigged","Double registration does not necessarily mean people are voting twice, and the Pew report Trump is citing does not say that it does.","Rigged election",""
" Oct 23","Falsely said of voter fraud, “You look at certain cities and I mean you take a look at some of the cities that you know about, you know about very well, whether it’s Philadelphia, St. Louis, Chicago.”","Election is rigged","There is no evidence of voter fraud problems in Philadelphia in Chicago; there have been recent news reports of alleged fraud in a St. Louis race for Missouri’s state legislature, but there is no evidence of a significant problem in presidential elections.","Rigged election","Economy"
" Oct 25","Falsely said, “Some of the voting is rigged. Everybody knows. “Check out Philadelphia, Chicago, St. Louis.”","Election is rigged","There is no evidence of vote-rigging in Philadelphia and Chicago. There have been recent allegations of St. Louis voting fraud in a state-legislature race in Missouri, but there is no evidence of a problem at the presidential level there either.","Rigged election","Trade"
" Oct 24","Falsely tweeted, “Major story that the Dems are making up phony polls in order to suppress the the (sic) Trump.”","Falsely accused a poll of being phony","This did not happen.","Rigged election",""
" Oct 24","Falsely said, “WikiLeaks also shows how John Podesta rigged the polls by oversampling Democrats … a voter suppression technique.”","Falsely described leaked Clinton emails","This is one of the most comprehensively wrong sentences of the campaign. One: the hacked email in question is from 2008. Two: it is not from Podesta. Three: it was about internal polling, not public polling. Four, oversampling is a polling technique used to ensure accurate data about demographic groups, not to rig polls. Five, it is not a voter suppression technique.","Rigged election",""
" Sep 28","Falsely said the “Google search engine was suppressing the bad news about Hillary Clinton.”","Falsely described media bias","There is no evidence for this claim, which was peddled by a Russian news agency.","Rigged election",""
" Oct 17","Falsely said, of voter fraud, “Philadelphia is one that’s mentioned. I think Romney got no votes and McCain got no votes. I mean, like no votes.”","Romney and McCain got no votes in Philly","Both Mitt Romney and John McCain got votes in Philadelphia. Romney got zero votes in just 3 per cent of the city’s districts, a fact the Republican chief in the city says is not suspicious given the overwhelming Democratic advantage in black neighbourhoods there and given that Barack Obama was running.","Rigged election",""
" Oct 18","Falsely said, “You go to Philadelphia, where Romney got zero votes, where McCain got zero votes.”","Romney and McCain got no votes in Philly","Both Mitt Romney and John McCain got tens of thousands of votes in Philadelphia. Romney got zero votes in just 3 per cent of the city’s districts.","Rigged election",""
" Oct 24","Falsely said, “Hillary Clinton gave Russia 20 per cent of American uranium. And you know, she was paid a fortune.”","Clinton gave Russia 20 per cent of U.S. uranium","Clinton didn’t personally give Russia uranium — the State Department was one of nine government entities that endorsed the purchase of Uranium One by a Russian state-owned enterprise. Investors in the deal made big donations to the Clinton Foundation, but “at least two years before the deal,” Politifact reports. There is no evidence that Clinton personally profited at all.","Russia",""
" Oct 25","Falsely said, “Hillary Clinton gave them 20 per cent of our uranium. Gave Russia. For a big payment.”","Clinton gave Russia 20 per cent of U.S. uranium","Clinton didn’t personally give Russia uranium – the State Department was one of nine government entities that endorsed the purchase of Uranium One. Investors in the deal made big donations to the Clinton Foundation, but “at least two years before the deal,” Politifact reports. And there is no evidence that Clinton was given a payment for the deal.","Russia",""
" Oct 9","Falsely said, “Maybe there is no hacking. But they always blame Russia. And the reason they blame Russia because they think they're trying to tarnish me with Russia.”","Hacking wasn't Russia","There was hacking. The U.S. intelligence community last week accused Russia of responsibility, as independent cybersecurity experts did previously; there is no evidence they did so to tarnish Trump.","Russia",""
" Oct 19","Falsely said of the perpetrator of hacking attacks against Democratic officials, “Our country has no idea.”","Hacking wasn't Russia","The White House and U.S. intelligence officials, along with independent experts, have concluded that Russia is responsible.","Russia",""
" Oct 9","Falsely said, “Just take a look at Russia, and look at what they did this week where I agree, she wasn't there but possibly she's consulted. We sign a peace treaty. Everyone's excited.”","Signed a peace treaty with Russia","There was no “peace treaty” about Syria, nor any agreement this week. The U.S. and Russia agreed to a temporary ceasefire in September.","Russia",""
" Oct 17","Falsely said, of the New START nuclear arms-reduction deal with Russia, “They didn’t even ask us for anything. They asked us not to reduce anything.”","START was a bad deal","Jeffrey Lewis, scholar at the Middlebury Institute of International Studies at Monterey, says it is wrong to say Russia didn’t ask for reductions. “We each wanted the other to make different kinds of reductions,” he says. “We wanted to reduce the number of warheads and they wanted to reduce the number of delivery vehicles...The final thing was a compromise.”","Russia",""
" Oct 19","Falsely said, of the New START nuclear arms reduction deal, “The Russians have said, according to many, many reports, I can’t believe they allowed us to do this. They create warheads, and we can’t. The Russians can’t believe it.”","START was a bad deal","The Russians have not mocked the deal in such a fashion. Though the deal sets a cap on the number of “deployed” nuclear warheads, the U.S. is still permitted to develop new ones to replace old ones.","Russia",""
" Sep 26","Falsely said, of nuclear weapons, “Russia has been expanding their — they have a much newer capability than we do. We have not been updating from the new standpoint.”","U.S. is not updating nuclear arsenal","In fact, the U.S. is currently in the midst of a trillion-dollar effort the New York Times has called a “nationwide wave of atomic revitalization that includes plans for a new generation of weapon carriers.”","Russia",""
" Oct 15","Falsely said, of the assault allegations, “Many of them already proven so false.”","Falsely described his sex assault allegations","Trump’s campaign and other defenders have offered contrary accounts, but none of the assault claims have been definitively proven false.","Sex assault allegations",""
" Oct 17","Falsely said, apparently of sexual assault accuser Summer Zervos, “The one young lady has five family members saying what she said is absolute nonsense.”","Falsely described his sex assault allegations","One of her cousins has come forward to suggest she is not credible, not five relatives.","Sex assault allegations",""
" Oct 18","Falsely said of sexual assault allegations, “Many of them have now already been debunked.”","Falsely described his sex assault allegations","None have been “debunked.” Trump and his allies have offered rebuttals and counterclaims, but no allegation has been definitively disproven.","Sex assault allegations",""
" Oct 18","Falsely said of sexual assault accuser Summer Zervos, “The other person who was on the Apprentice, members of her family came out and said she spoke most highly of Donald Trump … her family actually came out and said how unfair it was.”","Falsely described his sex assault allegations","It is false to say “members” of her family said this, or that “her family” said this; a statement was issued by one cousin.","Sex assault allegations",""
" Oct 19","Falsely said sexual assault allegations against him “have been largely debunked.”","Falsely described his sex assault allegations","None has been “debunked.” Trump’s campaign and allies have offered counter-claims, but no allegation has been definitively disproven.","Sex assault allegations",""
" Oct 15","Falsely said, “We’re actually the highest-taxed major country anywhere in the world, by far.”","Said U.S. taxes are ""the highest in the world""","The U.S. has the highest corporate tax rate of any major country, but with regard to all taxes, it is among the lowest-taxed.","Taxes",""
" Oct 18","Falsely said, “We’re the highest-taxed nation in the world.”","Said U.S. taxes are ""the highest in the world""","The U.S. does not even have the highest corporate marginal rate in the world; it is third. Taking all kinds of taxes into account, the U.S. is below average for the industrialized world.","Taxes",""
" Oct 21","Falsely said, “We’re already the highest-taxed nation in the world.”","Said U.S. taxes are ""the highest in the world""","This is not true with regard to corporate taxes, where the U.S. is near the top. When it comes to all taxes, the U.S. is below-average for the industrialized world.","Taxes",""
" Oct 25","Falsely said, “We’re the highest-taxed nation in the world.”","Said U.S. taxes are ""the highest in the world""","The U.S. is among the highest on corporate taxes, but not even the highest in that category. When all taxes are included, it is below the average for the industrialized world.","Taxes",""
" Oct 1","Falsely said of Bill Clinton, “He can’t practise law. He can’t be a lawyer. He was a lawyer. He can’t be a lawyer.”","Bill can't practise law","Clinton was not disbarred over his sex scandals. His Arkansas law license was suspended for five years. While he can’t currently work as a lawyer, he could do so within a week or so if he wanted to: Applications for reinstatement are “routinely approved,” a senior official of the Arkansas legal body said in 2006, when he became eligible for reinstatement.","The Clintons' ""corruption""",""
" Oct 9","Falsely said Bill Clinton “paid an $850,000 fine to one of the women, Paula Jones who is also here tonight.”","Bill paid a $850,000 fine","Clinton paid a $25,000 fine to Arkansas authorities, but his $850,000 payment to Jones was a settlement, not a fine.","The Clintons' ""corruption""",""
" Sep 16","Falsely claimed Clinton destroyed 13 iPhones with a hammer.","Clinton destroyed ""13 iPhones""","It was two BlackBerries","The Clintons' ""corruption""",""
" Sep 17","Falsely said, “Destroyed her phones – and think of this: with a hammer! Boom. Thirteen of them.”","Clinton destroyed ""13 iPhones""","Two of Clinton’s phones were destroyed with a hammer.","The Clintons' ""corruption""",""
" Sep 24","Falsely said Clinton “destroyed her iPhones with a hammer.”","Clinton destroyed ""13 iPhones""","The two destroyed phones were BlackBerries.","The Clintons' ""corruption""",""
" Oct 15","Falsely said of Clinton, “She made 13 iPhones disappear, some with a hammer.”","Clinton destroyed ""13 iPhones""","Clinton used BlackBerrys, not iPhones.","The Clintons' ""corruption""",""
" Oct 17","Falsely said, “You have the disappearance of 13 iPhones, many of them whacked with a hammer…she whacked them, a lot of them, with a hammer.”","Clinton destroyed ""13 iPhones""","Clinton’s mobile devices were BlackBerrys, not iPhones. Two of them were allegedly hit with a hammer by an aide, not Clinton herself.","The Clintons' ""corruption""",""
" Oct 18","Falsely said, “…the disappearance of 13 iPhones, some by hammers.”","Clinton destroyed ""13 iPhones""","Clinton used BlackBerrys as secretary of state, not iPhones.","The Clintons' ""corruption""",""
" Oct 21","Falsely said, “Made 13 iPhones disappear, some with a hammer.”","Clinton destroyed ""13 iPhones""","Clinton used BlackBerrys, not iPhones.","The Clintons' ""corruption""",""
" Oct 25","Falsely said Clinton “made 13 iPhones disappear, some with a hammer.”","Clinton destroyed ""13 iPhones""","Clinton’s phones were Blackberrys.","The Clintons' ""corruption""",""
" Oct 19","Falsely said, of the Clinton Foundation, “It’s a criminal enterprise.”","Clinton Foundation is a criminal enterprise","There is no evidence of this. The foundation has received good ratings from watchdog groups, and it has not been charged with illegality.","The Clintons' ""corruption""",""
" Oct 15","Falsely said of hacked Clinton-campaign emails: “They show how the Clinton campaign gets the questions for the debates and the answers for the debates prior to the debate. And we still beat her easily in that debate.”","Clinton gets debate questions in advance","The question Clinton appears to have been provided was for a town hall during the Democratic primary, not a debate against him.","The Clintons' ""corruption""",""
" Oct 17","Falsely said, “Hillary even got the questions and answers in advance of a major debate.”","Clinton gets debate questions in advance","Hacked emails suggest Clinton’s campaign was sent one question in advance for a Democratic town hall on CNN, not a major debate, not “questions” plural, and not “answers.”","The Clintons' ""corruption""",""
" Oct 21","Falsely said, “The media is so corrupt that Hillary was given the exact questions to a previous debate. Remember this, right, just recently. Word for word, given the questions. Here are the questions. Here are the questions. Nobody gave me the questions.”","Clinton gets debate questions in advance","There are several things wrong with this claim. Clinton was apparently given one question, not questions plural. It was for a town hall event on CNN, not a debate. It was in March, not “just recently.” And Trump is misleadingly suggesting it was for a debate against him.","The Clintons' ""corruption""",""
" Oct 24","Falsely said, “She got the debate questions in advance. Think of it. Did you hear this? Hillary Clinton got the debate questions in advance from Donna Brazile!”","Clinton gets debate questions in advance","This is false in more than one way. Clinton appears to have been given one question by Brazile, not questions plural, and it was for a CNN town hall during the Democratic primary in March, not a debate. And certainly not a general-election debate, as Trump was implying.","The Clintons' ""corruption""",""
" Oct 25","Falsely said, “Crooked Hillary was given the questions to a debate. Right. You saw that.”","Clinton gets debate questions in advance","Clinton appears to have been given one question, not questions plural, to a CNN town hall during the Democratic primary, not a debate.","The Clintons' ""corruption""",""
" Oct 25","Falsely said, on a separate occasion, “She got the answers to a debate.”","Clinton gets debate questions in advance","There is no such thing as “answers to a debate.”","The Clintons' ""corruption""",""
" Oct 1","Falsely said: “It’s not like, ‘Oh gee do you think she’s guilty?’ They’ve actually admitted she’s guilty.”","Clinton is guilty of crimes","No authority has “admitted” that Clinton is guilty of crimes related to her emails.","The Clintons' ""corruption""",""
" Oct 1","Falsely said, “They say she’s worth $200, $250 million.”","Clinton is worth 200 million","Reports the Washington Post: “In the Clintons’ 2015 personal financial disclosure form, they reported valued assets ranging from $11.3 million to $52.7 million. This number does not reflect homes that the Clintons own. In 2015, Forbes estimated their combined net worth at $45 million.”","The Clintons' ""corruption""",""
" Oct 19","Falsely said of Aleppo, “It has fallen. . . from any standpoint.”","Aleppo has fallen","The Syrian city has not fallen.","Daesh/Middle east",""
" Oct 9","Falsely said of Clinton, “She made $250 million by being in office. She used the power of her office to make a lot of money.”","Clinton is worth 200 million","Forbes magazine found $230 million in combined income for the Clintons between 2001 and 2014, but the majority of that was income Bill Clinton earned after he left office. “Hillary didn’t bring in the sort of money her husband did until 2013, when she left her post as Secretary of State,” Forbes wrote.","The Clintons' ""corruption""",""
" Oct 24","Falsely said, “She lies more than any human being.”","Clinton lies more than any human being","Trump lies far more frequently.","The Clintons' ""corruption""",""
" Oct 5","Falsely described an investigation into the State Department: “Our State Department, mostly under the watch of Crooked Hillary Clinton, misplaced or lost $6 billion in taxpayer funds.”","Clinton lost 6 billion at State","The inspector general who did this probe explicitly says it is not true that the actual money went missing — simply that contract files were incomplete or missing.","The Clintons' ""corruption""",""
" Oct 19","Falsely said, “Just like when you ran the State Department, $6 billion was missing. How do you miss $6 billion? You ran the State Department, $6 billion was either stolen. They don’t know. It’s gone, $6 billion.”","Clinton lost 6 billion at State","The inspector-general who probed this matter says it is not true that the actual money went missing – simply that contract documentation was missing or incomplete.","The Clintons' ""corruption""",""
" Oct 21","Falsely said, “Hillary Clinton when she ran the State Department lost or misplaced – they use the word misplaced — $6 billion.”","Clinton lost 6 billion at State","The inspector general who probed this matter says it is not true that the actual money went missing — simply that contract documentation was missing or incomplete.","The Clintons' ""corruption""",""
" Sep 16","Falsely claimed Clinton sold government favours","Clinton sold government favours","There is no evidence of this.","The Clintons' ""corruption""",""
" Sep 17","Falsely accused Clinton of selling “government favours and access.”","Clinton sold government favours","There is no evidence of this.","The Clintons' ""corruption""",""
" Sep 20","Falsely said Clinton gave “all of these special favours” for donors as secretary of state.","Clinton sold government favours","Experts say there is no evidence Clinton gave donors favours.","The Clintons' ""corruption""",""
" Sep 27","Falsely said Clinton “put her public office up for sale.”","Clinton sold government favours","While reports show that Clinton Foundation donors sought access to her as secretary of state, there is no evidence she sold favours or tried to.","The Clintons' ""corruption""",""
" Sep 28","Falsely said Clinton “put the office of secretary of state up for sale.”","Clinton sold government favours","There is no evidence Clinton sold or tried to sell favours.","The Clintons' ""corruption""",""
" Oct 1","Falsely said, “Favours and access were granted to those who wrote checks. She put the secretary of state up for sale.”","Clinton sold government favours","There is no evidence Clinton sold favours or tried to.","The Clintons' ""corruption""",""
" Oct 5","Falsely said, “Hillary Clinton put her public office up for sale.”","Clinton sold government favours","There is no evidence Clinton did or tried to.","The Clintons' ""corruption""",""
" Oct 9","Falsely alleged that Clinton went through a “very expensive process” to “acid wash” or “bleach” her deleted emails.","Clinton used an ""expensive"" program to clean emails","The emails were deleted with a free software program, called BleachBit.","The Clintons' ""corruption""",""
" Oct 24","Falsely said of Clinton’s email deletion: “Sophisticated people, people that really know the Internet and this stuff, said they never even heard of bleaching, because it’s such an expensive process.”","Clinton used an ""expensive"" program to clean emails","Clinton aides used a software program called BleachBit — which is a free download.","The Clintons' ""corruption""",""
" Oct 15","Falsely said, “The WikiLeaks documents show that the Clinton campaign was colluding directly with the Department of State and Justice on the investigation of her emails and her illegal server.”","Clinton was colluding on emails investigation","The hacked emails released by WikiLeaks do not show any evidence of collusion over the investigation. A Clinton spokesman who formerly worked for the Justice Department said only that it had informed him of an impending legal hearing on a freedom of information lawsuit over her emails — a hearing that was public information.","The Clintons' ""corruption""",""
" Oct 17","Falsely said, “What was just found out is that the Department of Justice, the State Department and the FBI colluded, got together to make Hillary Clinton look less guilty and a lot better than she looks.”","Clinton was colluding on emails investigation","The documents show a request from a State Department official to the FBI to decide that one of her emails was unclassified rather than classified, and mention of a proposal for a “quid pro quo.” But there is no evidence that any such deal was actually made, or that there was collusion.","The Clintons' ""corruption""",""
" Oct 19","Falsely said, “John Podesta said you have terrible instincts.”","Falsely described leaked Clinton emails","Clinton’s instincts were questioned in a hacked email not by Podesta but by another of her allies, Neera Tanden, who described them as “suboptimal.”","The Clintons' ""corruption""",""
" Oct 22","Falsely said, “The (Podesta) emails also show her staff saying ‘she has no core.’”","Falsely described leaked Clinton emails","Follow along the deception trail here. First, Republican operative Karl Rove wrote a newspaper column in which he argued that Clinton had “no core message.” Second, the column was included in an email newsletter to which a Clinton aide subscribed. Third, the aide’s emails were hacked and published by Wikileaks. Fourth, Trump appears to have turned “no core message” into simply “no core” – and falsely attributed it to the Clinton aide, who merely had the Rove column in his mailbox, rather than to Rove himself.","The Clintons' ""corruption""",""
" Oct 22","Falsely said, “Wikileaks showed John Podesta said of Hillary, ‘She has bad instincts.’”","Falsely described leaked Clinton emails","It was Clinton ally Neera Tanden who called Clinton’s instincts “suboptimal” in the hacked Podesta emails, not Podesta himself.","The Clintons' ""corruption""",""
" Oct 23","Falsely said, “‘Hillary Clinton has bad instincts’ — this guy Podesta’s a nasty guy … he said ‘bad instincts.’”","Falsely described leaked Clinton emails","Another Clinton ally, Neera Tanden, called her instincts “suboptimal” in a hacked Podesta email, not Podesta himself.","The Clintons' ""corruption""",""
" Oct 24","Falsely said, “WikiLeaks also shows how John Podesta … he said she has ‘bad instincts.’”","Falsely described leaked Clinton emails","It was not Podesta but another Clinton ally, Neera Tanden, who said her instincts were “suboptimal.”","The Clintons' ""corruption""",""
" Sep 28","Falsely said of Clinton’s email scandal: “There are five people taking the 5th Amendment, like you see on the mob, right.”","Falsely described the Clinton email scandal","Three people have invoked their 5th Amendment rights.","The Clintons' ""corruption""",""
" Oct 19","Falsely said of the current operation to seize Mosul from the Islamic State: “And the only reason they did it is because she’s running for the office of president and they want to look tough. They want to look good.”","Falsely described the Mosul invasion","This is an international effort involving U.S., Iraqi and Kurdish peshmerga forces. There is no evidence it is being done to help Clinton.","The Clintons' ""corruption""",""
" Oct 23","Falsely said the Mosul operation is happening because “Obama wanted to show what a tough guy he is before the election.”","Falsely described the Mosul invasion","There is no evidence of this. This is a major Iraqi initiative involving the Iraqi army, Kurdish peshmerga forces and various militias, not something Obama could order on his own.","The Clintons' ""corruption""",""
" Oct 24","Falsely said of lawyer Gloria Allred, “She works for the Clinton campaign.”","Gloria Allred works for the Clinton campaign","Allred is a Clinton supporter who was a delegate to the Democratic convention, but she does not work for the campaign.","The Clintons' ""corruption""",""
" Oct 24","Falsely described a campaign donation: “Listen to this — the FBI is investigating Clinton … and virtually her best friend, and absolutely closest ally, gives $675,000 in campaign contributions to the woman who’s married to the FBI person who’s doing the investigation. No wonder they found nothing wrong.”","McAuliffe paid off FBI","The donation by the PAC of Virginia Gov. Terry McAuliffe to unsuccessful Virginia state Senate candidate Jill McCabe was made before her husband Andrew McCabe was promoted to FBI Deputy Director and before he had responsibility for the email investigation; Trump is clearly suggesting the donation was made during the investigation.","The Clintons' ""corruption""",""
" Oct 25","Falsely described a donation to a Virginia state senate candidate from Gov. Terry McAuliffe: “So the FBI is investigating…so think of this. So the head of the FBI who’s investigating her has a wife who wants to run for some office and they give her not $1,000, not $2,000 not $20, $30—$675,000.”","McAuliffe paid off FBI","Trump’s account strongly suggests the McAuliffe PAC donation was made to candidate Jill McCabe while husband Andrew McCabe was conducting the Clinton-email investigation. In fact, Andrew McCabe was not promoted to his role in the investigation until three months after his wife’s failed campaign was over.","The Clintons' ""corruption""",""
" Oct 25","Falsely said, “Now, that’s Clinton giving the money. Because that’s how close they are. So Clinton gave the FBI agent who was top person, who was the top person in charge of her email case…she gave money at a huge clip, $675,000, to the wife of the FBI agent who was in charge of her investigation. Let me tell you something — that's a criminal act.”","McAuliffe paid off FBI","McAuliffe is not Clinton. McCabe’s husband was not involved in the investigation at the time. There is no evidence Clinton even knew about the payment, let alone ordered it. There is no evidence it was a criminal act.","The Clintons' ""corruption""",""
" Oct 25","Falsely said, “In other words, the man who was in charge of the investigation of Hillary Clinton accepted, essentially, from Hillary Clinton, $675,000 that went to his wife.”","McAuliffe paid off FBI","This is a direct accusation of corruption for which there was no evidence. Andrew McCabe did not accept money, and he did not accept money from Clinton.","The Clintons' ""corruption""",""
" Sep 26","Falsely said of U.S. companies hoarding cash overseas: “They can’t bring their money back into our country because of bureaucratic red tape because they can’t get together.”","Companies are hording cash overseas","The issue is the high U.S. corporate tax rate, not bureaucracy; Trump did note the tax rate a little earlier.","Trade/economy",""
" Sep 20","Falsely said “unbelievable numbers of jobs” will be lost in Ford’s outsourcing of small-car production to Mexico.","Exaggerated job losses under Obama/NAFTA","Ford says “not one job” will be lost as it begins to produce other vehicles at the affected U.S. facilities.","Trade/economy",""
" Sep 26","Falsely suggested that Ford’s outsourcing of small car production to Mexico will mean “thousands of jobs leaving Michigan.”","Exaggerated job losses under Obama/NAFTA","Ford is shifting the production of new products to the affected plants and not cutting any jobs.","Trade/economy",""
" Oct 1","Falsely said, “We don’t make anything anymore.”","Exaggerated job losses under Obama/NAFTA","Manufacturing represented 12 per cent of the American economy in 2015.","Trade/economy",""
" Oct 9","Falsely said, “We have the slowest growth since 1929.”","Exaggerated job losses under Obama/NAFTA","The economy is growing. According to CNBC, it contracted in eight individual years since 1930.","Trade/economy",""
" Oct 15","Falsely said, “Our economy is practically not growing at all in the United States. Just about zero.”","Exaggerated job losses under Obama/NAFTA","The economy is growing steadily, though not rapidly. Second-quarter 2016 growth was 1.4 per cent. There has been growth every year since 2009.","Trade/economy",""
" Oct 17","Falsely said, of companies “leaving” the country, “Ford is leaving.”","Exaggerated job losses under Obama/NAFTA","Ford is shifting small-car production out of the U.S., but it is not even cutting jobs at the affected plants, which will produce different vehicles. It is certainly not leaving.","Trade/economy",""
" Oct 18","Falsely said, “Look at our jobs report from last week, it was a disaster. Our jobs report last week was catastrophic.”","Exaggerated job losses under Obama/NAFTA","While Trump is entitled to his opinion on the report, which was released the week before last, it is objectively wrong to go so far as to say it was “catastrophic.” The economy added 156,000 jobs. While this was short of analysts’ estimates of 172,000, analysts called it such things as “solid” and “within the broad range of expectations”; while some media outlets called it “disappointing,” only Trump is calling it a catastrophe.","Trade/economy",""
" Oct 19","Falsely said, “We’re not making things anymore, relatively speaking.”","Exaggerated job losses under Obama/NAFTA","Manufacturing accounted for 12 per cent of the U.S. economy last year. Though there are fewer manufacturing jobs than there were in decades past, the value of the country’s manufacturing output hit an all-time high this year. Even with the “relatively speaking” qualifier, it is wrong to say the U.S. isn’t making things.","Trade/economy",""
" Oct 21","Falsely said, “We don’t make things anymore.”","Exaggerated job losses under Obama/NAFTA","Manufacturing accounted for 12 per cent of the U.S. economy last year. Though there are fewer manufacturing jobs than there were in decades past, the value of the country’s manufacturing output hit an all-time high this year.","Trade/economy",""
" Oct 25","Falsely said of the U.S economy, “We have no growth in our country. We have no growth.”","Exaggerated job losses under Obama/NAFTA","The economy has grown steadily since 2009, though not at all rapidly. Growth was 1.4 per cent in the second quarter.","Trade/economy",""
" Sep 17","Falsely said, “We have a trade deficit of $800 billion a year.”","Exaggerated the trade deficit","The trade deficit in goods alone $763 billion – but there was a trade surplus in services of $227 billion, putting the total deficit well below $600 billion.","Trade/economy",""
" Sep 25","Falsely said, “We have a trade deficit $800 – almost $800 billion a year.”","Exaggerated the trade deficit","The overall 2015 trade deficit was $532 billion. It may well be lower for 2016. When only goods trade is included, the 2015 deficit was $746 billion, so Trump’s figure would be closer, but he has stopped specifying that he is not counting services.","Trade/economy",""
